Abdurhman Bahour,,,,,,,,0,,,,,
Wrap:,TRUE,,,,,,,,,,,,
K(states):,5,,,,,,,,,,,,
Radius:,1,,,,,,,,,,,,
Quiescence:,TRUE,,,,,,,,,,,,
random seed:,1644449108,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,0,,,,,,,,,,,,
Rule:,2.24E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
Experiment #:,7,,,,,,,,,,,,
Rule:,4.11E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,2,0.992,0.923076923,2.024095927,2.133937566,,randomness at begning ends in repeating patter,,,,,0
1,10,3,0.944,0.846153846,2.176031705,2.257756064,,chaous,,,,,2
2,1,3,0.92,0.769230769,2.216849463,2.295465679,,chaous,,,,,2
3,6,4,0.768,0.692307692,2.270515141,2.199687795,,edge of chaouts,,,,,1
4,11,2,0.744,0.615384615,2.255006859,2.075869297,,randomness at begning ends in repeating patter,,,,,0
5,9,4,0.664,0.538461538,2.188879666,1.987773371,,edge of chaouts,,,,,1
6,2,2,0.616,0.461538462,2.16301511,1.88109476,,randomness at begning ends in repeating patter,,,,,0
7,5,2,0.472,0.384615385,1.716669816,1.546593564,,randomness at begning ends in repeating patter,,,,,0
8,7,2,0.328,0.307692308,1.423565857,1.352030102,,randomness at begning ends in repeating patter,,,,,0
9,8,2,0.208,0.230769231,0.980752722,1.145110414,,randomness at begning ends in repeating patter,,,,,0
10,12,2,0.2,0.153846154,0.916118214,0.773228349,,randomness at begning ends in repeating patter,,,,,0
11,4,1,0.08,0.076923077,0.40217919,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,3,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,8,,,,,,,,,,,,
Rule:,3.43E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.7910126,2.038159682,,chaous,,,,,2
1,11,3,0.968,0.846153846,1.831169,2.038159682,,chaous,,,,,2
2,7,3,0.824,0.769230769,2.087851511,2.10390991,,chaous,,,,,2
3,2,3,0.776,0.692307692,2.098172512,2.10390991,,chaous,,,,,2
4,10,3,0.728,0.615384615,1.915308322,1.826245258,,chaous,,,,,2
5,12,3,0.72,0.538461538,1.911819194,1.738149333,,chaous,,,,,2
6,3,3,0.64,0.461538462,1.917478536,1.669180337,,chaous,,,,,2
7,9,3,0.56,0.384615385,1.810691743,1.488525295,,chaous,,,,,2
8,6,3,0.408,0.307692308,1.62002262,1.352030102,,chaous,,,,,2
9,8,3,0.288,0.230769231,1.24772691,1.145110414,,chaous,,,,,2
10,1,3,0.264,0.153846154,1.095146613,0.773228349,,chaous,,,,,2
11,4,1,0.144,0.076923077,0.594619344,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,5,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,9,,,,,,,,,,,,
Rule:,2.42E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,3,0.992,0.923076923,1.687578454,2.10390991,,chaous,,,,,2
1,4,3,0.872,0.846153846,2.012644363,2.199687795,,chaous,,,,,2
2,11,3,0.848,0.769230769,1.916998481,1.987773371,,chaous,,,,,2
3,1,2,0.824,0.692307692,1.918650403,1.950063756,,randomness at begning ends in repeating patter,,,,,0
4,2,2,0.776,0.615384615,1.953012831,1.922023143,,randomness at begning ends in repeating patter,,,,,0
5,3,2,0.696,0.538461538,1.860244617,1.775858948,,randomness at begning ends in repeating patter,,,,,0
6,12,2,0.688,0.461538462,1.859940856,1.669180337,,randomness at begning ends in repeating patter,,,,,0
7,6,1,0.536,0.384615385,1.732412163,1.488525295,,initial state evloves to a fixed uniform state,,,,,0
